	Word	Count
0	new york	67294
1	staff friendly	59343
2	times square	58803
3	walking distance	55503
4	great location	48194
5	friendly helpful	43212
6	room clean	37087
7	recommend hotel	33319
8	room service	32227
9	hotel great	32025
10	definitely stay	31886
11	hotel staff	29845
12	highly recommend	27239
13	san francisco	26950
14	staff helpful	26740
15	stayed nights	26662
16	place stay	25444
17	central park	24565
18	stay hotel	23848
19	rooms clean	23625
20	stayed hotel	23507
21	location great	22941
22	clean comfortable	22051
23	desk staff	21986
24	union square	21744
25	san diego	21741
26	bed comfortable	20488
27	hotel room	20045
28	great hotel	19461
29	friendly staff	17390
30	minute walk	17350
31	empire state	16872
32	room nice	16764
33	ve stayed	16592
34	flat screen	16509
35	great place	16396
36	continental breakfast	15916
37	hotel clean	15636
38	beds comfortable	15119
39	blocks away	14898
40	short walk	14069
41	nice hotel	13787
42	valet parking	13715
43	enjoyed stay	13689
44	hotel located	13635
45	wi fi	13598
46	location hotel	13497
47	room small	13428
48	night stay	13414
49	room spacious	13341
50	customer service	13212
51	free breakfast	13206
52	location perfect	13159
53	hotel location	12977
54	staff great	12856
55	good location	12813
56	state building	12704
57	hotel nice	12683
58	make sure	12620
59	das hotel	12425
60	breakfast buffet	12399
61	room great	12287
62	screen tv	12190
63	rooms small	12065
64	comfortable bed	11955
65	hotel rooms	11884
66	really nice	11769
67	good value	11729
68	great view	11694
69	hotel good	11637
70	free wifi	11595
71	nice touch	11441
72	room large	11418
73	great stay	11366
74	helpful friendly	11315
75	block away	11198
76	convention center	10980
77	great service	10932
78	free internet	10896
79	stayed night	10731
80	time square	10611
81	living room	10607
82	nice clean	10529
83	definitely recommend	10346
84	great value	10225
85	rooms nice	10079
86	really enjoyed	9840
87	clean staff	9696
88	staff extremely	9690
89	helpful staff	9627
90	cable car	9626
91	hotel stay	9462
92	good size	9361
93	feel like	9311
94	happy hour	9310
95	comfortable beds	9305
96	service great	9286
97	grand central	9272
98	room comfortable	9215
99	staff nice	9196
100	clean room	9119
101	hotel restaurant	9097
102	pleasantly surprised	9058
103	internet access	9040
104	coffee maker	8988
105	pool area	8971
106	rooms spacious	8957
107	breakfast good	8949
108	year old	8933
109	perfect location	8832
110	great staff	8831
111	easy access	8788
112	value money	8646
113	king bed	8643
114	san antonio	8596
115	comfortable room	8485
116	just returned	8462
117	really good	8449
118	fitness center	8422
119	10 minutes	8318
120	corner room	8310
121	king size	8309
122	clean rooms	8293
123	service excellent	8277
124	spacious clean	8121
125	view room	8107
126	great time	8058
127	street noise	8057
128	free parking	7997
129	floor room	7952
130	breakfast morning	7949
131	felt like	7918
132	excellent location	7904
133	room ready	7871
134	great restaurants	7863
135	room room	7855
136	places eat	7845
137	breakfast included	7844
138	hotel just	7839
139	holiday inn	7825
140	easy walk	7809
141	hotel close	7805
142	extremely helpful	7804
143	went way	7764
144	reasonably priced	7715
145	mini bar	7707
146	booked hotel	7707
147	business center	7698
148	location close	7664
149	great room	7648
150	location excellent	7592
151	hotel excellent	7572
152	hot tub	7567
153	late night	7549
154	double beds	7503
155	good hotel	7439
156	spent nights	7417
157	hotel perfect	7410
158	husband stayed	7410
159	room good	7361
160	got room	7315
161	boutique hotel	7301
162	great experience	7281
163	size bed	7244
164	business trip	7223
165	staying hotel	7206
166	room hotel	7200
167	location good	7150
168	great deal	7141
169	nice room	7125
170	right street	7063
171	york city	7054
172	staff hotel	7046
173	complimentary breakfast	7018
174	service good	6964
175	centrally located	6864
176	clean quiet	6827
177	coffee tea	6825
178	rooms large	6789
179	best hotel	6778
180	fisherman wharf	6769
181	overall great	6699
182	got great	6690
183	15 minutes	6613
184	clean spacious	6611
185	rooms great	6598
186	comfortable clean	6583
187	easy walking	6576
188	hotel really	6557
189	parking lot	6518
190	die zimmer	6507
191	extremely comfortable	6467
192	recently stayed	6453
193	couple blocks	6446
194	minutes walk	6444
195	food good	6409
196	free wi	6409
197	room view	6325
198	room quiet	6320
199	felt safe	6291
